labeled_ratio,method,trials,mean_final_best_val_acc,std_final_best_val_acc,mean_final_test_acc,std_final_test_acc,mean_final_test_f1,std_final_test_f1,mean_total_pseudo_labeled,mean_tuning_time_sec,mean_total_time_sec
0.05,manual,5,0.4997,0.0067,0.5048,0.0075,0.4976,0.0106,2302.4,185.86,243.86
0.05,pso,5,0.4886,0.0135,0.4899,0.0065,0.4848,0.003,2220.4,418.55,476.62
0.1,manual,5,0.558,0.0024,0.558,0.0033,0.5541,0.002,2100,221.23,285.16
0.1,pso,5,0.5475,0.0081,0.5491,0.0055,0.545,0.0047,2286.6,455.7,519.23
0.15,manual,5,0.5873,0.0098,0.5828,0.0044,0.5797,0.0053,3360,242.52,313.32
0.15,pso,5,0.585,0.0066,0.5817,0.0111,0.5786,0.0113,2877.6,488.86,558.52
0.2,manual,5,0.6111,0.0056,0.6092,0.0066,0.608,0.0077,1860,257.79,332.12
0.2,pso,5,0.6085,0.0132,0.6001,0.0107,0.5989,0.009,2698.2,516.05,591.11
0.3,manual,5,0.6435,0.008,0.6419,0.0106,0.6388,0.0097,3120,285.08,370.64
0.3,pso,5,0.6399,0.0046,0.6371,0.0067,0.6359,0.0062,1442.4,569.98,654.25
0.5,manual,5,0.6761,0.0071,0.6725,0.0043,0.6719,0.0046,2220,341.1,446.98
0.5,pso,5,0.6783,0.0077,0.6704,0.0052,0.6699,0.005,2020.2,683.39,788.92
